Number: 77, Type: 2e, Grid Ref: TQ0278777038, Longitude: 51.482967, Latitude: -0.521122, Distance: 23.70
Number: 78, Type: 3b, Grid Ref: TQ0278477041, Longitude: 51.482995, Latitude: -0.521165, Distance: 23.70
Number: 79, Type: 2e, Grid Ref: TQ0253176395, Longitude: 51.477234, Latitude: -0.524994, Distance: 23.79
Number: 81, Type: 2e, Grid Ref: TQ0263872035, Longitude: 51.438024, Latitude: -0.524718, Distance: 23.06
Number: 82, Type: 4d, Grid Ref: TQ0262072024, Longitude: 51.437928, Latitude: -0.52498, Distance: 23.08
Number: 83, Type: -, Grid Ref: TQ0359371433, Longitude: 51.432439, Latitude: -0.511159, Distance: 22.08
Number: 84, Type: 2e, Grid Ref: TQ0278871701, Longitude: 51.434994, Latitude: -0.522657, Distance: 22.89
Number: 85, Type: 2e, Grid Ref: TQ0312171472, Longitude: 51.432875, Latitude: -0.517935, Distance: 22.55
Number: 86, Type: 2*, Grid Ref: TQ0315471452, Longitude: 51.43269, Latitude: -0.517466, Distance: 22.52
Number: 87, Type: 4d, Grid Ref: TQ0363771270, Longitude: 51.430965, Latitude: -0.510573, Distance: 22.03
Number: 88, Type: 2e, Grid Ref: TQ0543167010, Longitude: 51.392343, Latitude: -0.486042, Distance: 20.60
Number: 89, Type: 2, Grid Ref: TQ0548866714, Longitude: 51.389672, Latitude: -0.485311, Distance: 20.60
Number: 90, Type: 2b, Grid Ref: TQ0546666616, Longitude: 51.388795, Latitude: -0.485656, Distance: 20.64
Number: 91, Type: 2e, Grid Ref: TQ0791366377, Longitude: 51.386187, Latitude: -0.450574, Distance: 18.31
Number: 92, Type: 2e, Grid Ref: TQ0814466413, Longitude: 51.386467, Latitude: -0.447245, Distance: 18.08
Number: 93, Type: 2e, Grid Ref: TQ0907266144, Longitude: 51.383872, Latitude: -0.433997, Distance: 17.25
Number: 94, Type: 2e, Grid Ref: TQ0950366432, Longitude: 51.386378, Latitude: -0.427717, Distance: 16.76
Number: 95, Type: 2, Grid Ref: TQ1088168543, Longitude: 51.405085, Latitude: -0.407263, Distance: 14.97
Number: 96, Type: 2e, Grid Ref: TQ1107268658, Longitude: 51.406081, Latitude: -0.404482, Distance: 14.76
Number: 97, Type: 1, Grid Ref: TQ1165068883, Longitude: 51.40799, Latitude: -0.396105, Distance: 14.16
Number: 98, Type: 2e, Grid Ref: TQ1218768521, Longitude: 51.404631, Latitude: -0.388502, Distance: 13.68
Number: 99, Type: 2e, Grid Ref: TQ1244867916, Longitude: 51.399141, Latitude: -0.384943, Distance: 13.54
Number: 100, Type: 2e, Grid Ref: TQ1252667496, Longitude: 51.39535, Latitude: -0.383955, Distance: 13.57
Number: 100b, Type: 2e, Grid Ref: TQ1175168305, Longitude: 51.402775, Latitude: -0.394835, Distance: 14.15
Number: 101, Type: 2, Grid Ref: TQ1379566621, Longitude: 51.387233, Latitude: -0.366002, Distance: 12.61
Number: 102, Type: 4b, Grid Ref: TQ1402765799, Longitude: 51.379798, Latitude: -0.362932, Distance: 12.69
Number: 103, Type: 2e, Grid Ref: TQ1391865716, Longitude: 51.379074, Latitude: -0.364524, Distance: 12.83
Number: 104, Type: 2*, Grid Ref: TQ1449865326, Longitude: 51.375452, Latitude: -0.356319, Distance: 12.47
Number: 105, Type: 2*, Grid Ref: TQ1480464738, Longitude: 51.370105, Latitude: -0.352114, Distance: 12.47
Number: 106, Type: 2f, Grid Ref: TQ1471864422, Longitude: 51.367282, Latitude: -0.353451, Distance: 12.71
Number: 107, Type: 2e, Grid Ref: TQ1461364090, Longitude: 51.36432, Latitude: -0.355066, Distance: 12.97
Number: 108, Type: 2h, Grid Ref: TQ1422462885, Longitude: 51.353567, Latitude: -0.361037, Distance: 13.95
Number: 109, Type: 2e, Grid Ref: TQ1407062210, Longitude: 51.347531, Latitude: -0.363464, Distance: 14.47
Number: 110, Type: 2e, Grid Ref: TQ1406061758, Longitude: 51.343471, Latitude: -0.363752, Distance: 14.76
Number: 111, Type: 5, Grid Ref: TQ1479461844, Longitude: 51.344096, Latitude: -0.353191, Distance: 14.13
Number: 112, Type: 2h, Grid Ref: TQ1483061849, Longitude: 51.344134, Latitude: -0.352672, Distance: 14.10
Number: 113, Type: 2e, Grid Ref: TQ1527362062, Longitude: 51.345959, Latitude: -0.346246, Distance: 13.62
Number: 114, Type: 2e, Grid Ref: TQ1580262362, Longitude: 51.348547, Latitude: -0.338556, Distance: 13.03
Number: 115, Type: 2e, Grid Ref: TQ1664059946, Longitude: 51.326662, Latitude: -0.327319, Distance: 14.17
Number: 116, Type: 2e, Grid Ref: TQ1726260143, Longitude: 51.328305, Latitude: -0.318331, Distance: 13.63
Number: 117, Type: 2e, Grid Ref: TQ1781360650, Longitude: 51.332748, Latitude: -0.310259, Distance: 12.89
Number: 118, Type: 2, Grid Ref: TQ1831461169, Longitude: 51.337308, Latitude: -0.302899, Distance: 12.17
